"Id","TableEnumOrId","FieldEnumOrId","CreatedById","CreatedDate"
"0G1E0000000BMHSKA4","User","Title","005E0000001eioKIAQ","2012-08-27 03:20:35"
"0G1E0000000BMHTKA4","User","Address","005E0000001eioKIAQ","2012-08-27 03:20:35"
"0G1E0000000BMHUKA4","User","Email","005E0000001eioKIAQ","2012-08-27 03:20:35"
"0G1E0000000BMHVKA4","User","Phone","005E0000001eioKIAQ","2012-08-27 03:20:35"
"0G1E0000000BMHWKA4","User","Manager","005E0000001eioKIAQ","2012-08-27 03:20:35"
"0G1E0000000BMHXKA4","User","AboutMe","005E0000001eioKIAQ","2012-08-27 03:20:35"
"0G1E0000000BMHYKA4","User","000000000000000","005E0000001eioKIAQ","2012-08-27 03:20:35"
"0G1E0000000BMHZKA4","Account","Name","005E0000001eioKIAQ","2012-08-27 03:20:35"
"0G1E0000000BMHaKAO","Account","Owner","005E0000001eioKIAQ","2012-08-27 03:20:35"
"0G1E0000000BMHbKAO","Account","000000000000000","005E0000001eioKIAQ","2012-08-27 03:20:35"
"0G1E0000000BMHcKAO","Contact","Account","005E0000001eioKIAQ","2012-08-27 03:20:35"
"0G1E0000000BMHdKAO","Contact","Name","005E0000001eioKIAQ","2012-08-27 03:20:35"
"0G1E0000000BMHeKAO","Contact","Owner","005E0000001eioKIAQ","2012-08-27 03:20:35"
"0G1E0000000BMHfKAO","Contact","000000000000000","005E0000001eioKIAQ","2012-08-27 03:20:35"
"0G1E0000000BMHgKAO","Lead","Name","005E0000001eioKIAQ","2012-08-27 03:20:35"
"0G1E0000000BMHhKAO","Lead","Status","005E0000001eioKIAQ","2012-08-27 03:20:35"
"0G1E0000000BMHiKAO","Lead","Owner","005E0000001eioKIAQ","2012-08-27 03:20:35"
"0G1E0000000BMHjKAO","Lead","000000000000000","005E0000001eioKIAQ","2012-08-27 03:20:35"
"0G1E0000000BMHkKAO","Opportunity","Name","005E0000001eioKIAQ","2012-08-27 03:20:35"
"0G1E0000000BMHlKAO","Opportunity","StageName","005E0000001eioKIAQ","2012-08-27 03:20:35"
"0G1E0000000BMHmKAO","Opportunity","Amount","005E0000001eioKIAQ","2012-08-27 03:20:35"
"0G1E0000000BMHnKAO","Opportunity","CloseDate","005E0000001eioKIAQ","2012-08-27 03:20:35"
"0G1E0000000BMHoKAO","Opportunity","Owner","005E0000001eioKIAQ","2012-08-27 03:20:35"
"0G1E0000000BMHpKAO","Opportunity","000000000000000","005E0000001eioKIAQ","2012-08-27 03:20:35"
"0G1E0000000BMHqKAO","Case","Status","005E0000001eioKIAQ","2012-08-27 03:20:35"
"0G1E0000000BMHrKAO","Case","Priority","005E0000001eioKIAQ","2012-08-27 03:20:35"
"0G1E0000000BMHsKAO","Case","Owner","005E0000001eioKIAQ","2012-08-27 03:20:35"
"0G1E0000000BMHtKAO","Case","000000000000000","005E0000001eioKIAQ","2012-08-27 03:20:35"
"0G1E0000000BMHuKAO","ContentDocument","000000000000000","005E0000001eioKIAQ","2012-08-27 03:20:35"
"0G1E0000000BMHvKAO","CollaborationGroup","Name","005E0000001eioKIAQ","2012-08-27 03:20:35"
"0G1E0000000BMHwKAO","CollaborationGroup","Owner","005E0000001eioKIAQ","2012-08-27 03:20:35"
"0G1E0000000BMHxKAO","CollaborationGroup","CollaborationType","005E0000001eioKIAQ","2012-08-27 03:20:35"
"0G1E0000000BMHyKAO","CollaborationGroup","Description","005E0000001eioKIAQ","2012-08-27 03:20:35"
"0G1E0000000BMHzKAO","CollaborationGroup","InformationTitle","005E0000001eioKIAQ","2012-08-27 03:20:35"
"0G1E0000000BMI0KAO","CollaborationGroup","InformationBody","005E0000001eioKIAQ","2012-08-27 03:20:35"
"0G1E0000000BMI1KAO","CollaborationGroup","CanHaveGuests","005E0000001eioKIAQ","2012-08-27 03:20:35"
"0G1E0000000BMI2KAO","CollaborationGroup","000000000000000","005E0000001eioKIAQ","2012-08-27 03:20:35"
"0G1E0000000BMI3KAO","Site","000000000000000","005E0000001eioKIAQ","2012-08-27 03:20:35"
